time_s,vin
1.554559999999999902e-05,2.932850000000000179e+00
1.554640000000000077e-05,2.893790000000000084e+00
1.554719999999999914e-05,2.913320000000000132e+00
1.554800000000000089e-05,2.893790000000000084e+00
1.554879999999999926e-05,2.913320000000000132e+00
1.554960000000000101e-05,2.874260000000000037e+00
1.555039999999999938e-05,2.913320000000000132e+00
1.555120000000000113e-05,2.874260000000000037e+00
1.555199999999999950e-05,2.923090000000000188e+00
1.555280000000000125e-05,2.903550000000000075e+00
1.555359999999999962e-05,2.942619999999999791e+00
1.555440000000000137e-05,2.913320000000000132e+00
1.555519999999999974e-05,2.903550000000000075e+00
1.555600000000000149e-05,2.874260000000000037e+00
1.555679999999999986e-05,2.913320000000000132e+00
1.555760000000000161e-05,2.903550000000000075e+00
1.555839999999999998e-05,2.923090000000000188e+00
1.555919999999999835e-05,2.903550000000000075e+00
1.556000000000000010e-05,2.952379999999999782e+00
1.556079999999999847e-05,2.893790000000000084e+00
1.556160000000000022e-05,2.893790000000000084e+00
1.556239999999999859e-05,2.893790000000000084e+00
1.556320000000000034e-05,2.913320000000000132e+00
1.556399999999999871e-05,2.893790000000000084e+00
1.556480000000000046e-05,2.903550000000000075e+00
1.556559999999999883e-05,2.903550000000000075e+00
1.556640000000000058e-05,2.913320000000000132e+00
1.556719999999999895e-05,2.893790000000000084e+00
1.556800000000000070e-05,2.923090000000000188e+00
1.556879999999999907e-05,2.893790000000000084e+00
1.556960000000000082e-05,2.932850000000000179e+00
1.557039999999999919e-05,2.893790000000000084e+00
1.557120000000000094e-05,2.913320000000000132e+00
1.557199999999999931e-05,2.903550000000000075e+00
1.557280000000000106e-05,2.932850000000000179e+00
1.557359999999999943e-05,2.884020000000000028e+00
1.557440000000000118e-05,2.913320000000000132e+00
1.557519999999999955e-05,2.884020000000000028e+00
1.557600000000000130e-05,2.932850000000000179e+00
1.557679999999999967e-05,2.884020000000000028e+00
1.557760000000000142e-05,2.913320000000000132e+00
1.557839999999999979e-05,2.874260000000000037e+00
1.557920000000000154e-05,2.913320000000000132e+00
1.557999999999999991e-05,2.874260000000000037e+00
1.558080000000000166e-05,2.903550000000000075e+00
1.558160000000000003e-05,2.854729999999999990e+00
1.558239999999999840e-05,2.923090000000000188e+00
1.558320000000000015e-05,2.874260000000000037e+00
1.558399999999999852e-05,2.932850000000000179e+00
1.558480000000000027e-05,2.884020000000000028e+00
1.558559999999999864e-05,2.913320000000000132e+00
1.558640000000000039e-05,2.893790000000000084e+00
1.558719999999999876e-05,2.913320000000000132e+00
1.558800000000000051e-05,2.874260000000000037e+00
1.558879999999999888e-05,2.942619999999999791e+00
1.558960000000000063e-05,2.884020000000000028e+00
1.559039999999999900e-05,2.913320000000000132e+00
1.559120000000000075e-05,2.884020000000000028e+00
1.559199999999999912e-05,2.913320000000000132e+00
1.559280000000000087e-05,2.874260000000000037e+00
1.559359999999999924e-05,2.942619999999999791e+00
1.559440000000000099e-05,2.874260000000000037e+00
1.559519999999999936e-05,2.903550000000000075e+00
1.559600000000000111e-05,2.893790000000000084e+00
1.559679999999999948e-05,2.942619999999999791e+00
1.559760000000000123e-05,2.893790000000000084e+00
1.559839999999999960e-05,2.923090000000000188e+00
1.559920000000000135e-05,2.893790000000000084e+00
1.559999999999999972e-05,2.913320000000000132e+00
1.560080000000000147e-05,2.884020000000000028e+00
1.560159999999999984e-05,2.923090000000000188e+00
1.560240000000000159e-05,2.893790000000000084e+00
1.560319999999999996e-05,2.932850000000000179e+00
1.560399999999999832e-05,2.903550000000000075e+00
1.560480000000000008e-05,2.913320000000000132e+00
1.560559999999999844e-05,2.874260000000000037e+00
1.560640000000000020e-05,2.913320000000000132e+00
1.560719999999999856e-05,2.884020000000000028e+00
1.560800000000000032e-05,2.913320000000000132e+00
1.560879999999999868e-05,2.903550000000000075e+00
1.560960000000000044e-05,2.913320000000000132e+00
1.561039999999999880e-05,2.903550000000000075e+00
1.561120000000000056e-05,2.913320000000000132e+00
1.561199999999999893e-05,2.874260000000000037e+00
1.561280000000000068e-05,2.913320000000000132e+00
1.561359999999999905e-05,2.893790000000000084e+00
1.561440000000000080e-05,2.903550000000000075e+00
1.561519999999999917e-05,2.844959999999999933e+00
